text,sentiment,category,keyword
"내 돈으로 돈놀이 해서 벌었으니
내가 주주다 전액 환불해라",부정,운용성과,비판
미래세대에게는 절대 좋지않은 국민연금,부정,세대형평,미래세대
이번의 성과가 지속적으로 유지가 될 수 있는가? 도 생각해 봐야한다고 생각합니다. 국민연금이 대한민국의 구조에 맞는 운영 구조를 가지고 있는가? 전 아니라고 생각합니다. 반드시 고갈될 수 밖에 없는 구조를 가지고 있으며 미래세대에 책임을 떠넘기는 구조를 가지고 있다고 생각합니다. 성과가 좋을 때 도 있지만 좋지 않을 때 도 있다는 것을 생각해야 하며 잘못된 구조를 개선해야한다고 생각합니다. 연금 수급자가 대폭 증가하는 시기에 운용 성과가 좋지 않다면? 최악의 경우도 생각해야합니다. 저는 국민에게 선택권을 주어 탈퇴 할 수 있도록 하는 것이 대안이라 생각합니다.,부정,연금제도,제도 비난
"과거에
40년대생 50년대생 60년대생들이
직장생활할때
1988년 1월부터 국민연금제도가 시작되었죠

그당시 생각들이
이거 넣어서 뭘하겠냐는 식의 
부정적인 생각과
얼마넣지않고 퇴직을 하신분들은
일시금으로 찾아버리기도 했었죠

세월이 지나서
지금 그분들 (넣지않은 분들 / 일시금으로 수령한분들)
거의 대다수가 후회하고 있습니다

왜 이런말씀을 드리냐면
요즘 젊은세대들 중에
무슨 2057년도에 연금이 고갈된다느니 어쩌니 하니까
누구 좋은일 시킬라고 넣냐는 식으로
대단히 부정적인 사고를 가진분들이
대단히 많던데

그거 나중에 후회막급의 잘못된 생각입니다
벌이가 시원찮아도 26년 기준으로
월 95.000원 을 불입할수 있는데도
그것조차 하지않겠다 ?

생각을 바꾸시고 넣도록 하십시요

만 18세 이상이되는 자녀가 있으신분은 연금에 가입할수있고
소득이 없더라도 부모님이 당분간 대신내주는 식으로 하셔도 됩니다

앞으로 더 내고 더 늦게받는
방식으로 가더라도 본인에게 나쁠게없다고 봅니다

작년도 국민연금 운용수익이 
2백조 단위를 넘었다죠
기금운용이 잘되어가고 제도가 바귀어가면 고갈시점도 훨씬 뒤로 연장이됩니다

못받을거라는 걱정은 좀 지나친  잘못된 생각이며
안넣어서 후회하는것보다
가입해서 불입하는게 훨씬더 좋은 겁니다.",긍정,연금제도,가입 권장
"15%수익내고 무슨 자랑이냐?.
코스피 지수가 74% 올랐는데 에휴~❤❤",부정,운용성과,성과 비판
이사장님 넘 감사합니다~나라를  위하는 마음. 국민을 위하는 마음 감사합니다~,긍정,국민연금 조직,감사
극우들이 국민연금 불신 만듦..거짓뉴스도 워낙 많고..지금도 고갈 어쩌고 하고 다님,부정,연금제도,고갈
캄사함다!,긍정,기타,감사
이사장님 감사합니다.,긍정,국민연금 조직,감사
"연금이 중공과 손잡고 대한민국 기업 경영권 탈취하려고 한다. 기업국유화 진행중이다. 
즉 대한민국 사회주의 작업 끝나간다. 개헌 막아야합니다.",부정,기타,비난
29:26 좋소 외노자들은 3.3% 만 처내고 다녀서 국민연금 안냅니다 외노자들도 똑똑해서 세금 안내려합니다,부정,연금제도,가입
개혁 더 하고 싶어서 나오신거 같은데..,중립,국민연금 조직,개혁
정말 정말 감사합니다😊,긍정,기타,감사
잘버니까 자율제로 바꿔라,중립,운용성과,자율제
국민연금 운용사 특별감사 실시해야 한다. 불장에 수천조 운영하며 18%번게 많이 벌엇다고 생각하냐?,부정,운용성과,감사
그래도 나는 선택 사항이 되어야 한다고 본다 뭐든지 강제적으로 하는건 문제가 있는거지,중립,연금제도,선택사항
우리아들 국민연금에 입사시키고 싶다~,긍정,국민연금 조직,입사
"독립성인데 왜환율방어에 기금을 쓰시나요?
해외시장에서 수익이나야 진정한 수익이 아닌가요?",부정,정부개입·거버넌스,환율방어
국민연금 따라가야겠네😅,긍정,투자전략,응원
진짜 나라를 위한분들이시구나,긍정,국민연금 조직,감사
"국민연금 좋지요 정말 필요하고 좋은말씀입니다
그런데 사망하면끝이에요
배우자가 동갑인데 연금개시 직후사망하니
유족연금이 15%입니다 
2개월수령하고 원금은날아갔어요 개선이필요합니다",부정,연금제도,개선요청
사명감을 갖고 일하시는 김성주이사장님과 국민연금 임직원분들께  감사드립니다 화이팅 🎉,긍정,국민연금 조직,감사
연봉좀 올려드려라. 10억줘도 아깝지 않다,부정,국민연금 조직,연봉
이렇게 열심히하는분들 뒤에 국회의원 대통령 보면 자기들 주머니 채우느라바쁘고 이번에는 한국이 위험할때쓸 비축유 석유 90만배럴 중국아니면 북한에 다줘버리곤 어디에줬냐니까 알려하지말라 라는 국가인데 국민연금계속 돈벌면 욕심나서 지들꺼로 만들놈들임..,부정,정부개입·거버넌스,비판
퇴직연금 통합운영하면 세계1위 국가펀드가 되죠 세계적인 큰손이 되는게 투자에 유리해요. 특별한 딜을 할수 있죠. 저는 퇴직연금 직접 운용하는데 수익율 20%정도 매년 냅니다. 직접운용 안할땐 누적수익률 3%였답니다 ㅠㅠㅠㅠ  펀드매니저 아닌 직원들도 인센 배분하셔야해요!!! 기업처럼 하셔요🎉 타임폴리오 처럼요 성과만 좋으면 국민들이 지지합니다❤,긍정,퇴직연금,통합운영
"똑부러지시네요.
믿음이  갑니다.",긍정,국민연금 조직,신뢰
국민연금을 못믿는 이유는 지금 정부처럼 환율 방어에 쓰고 여기저기 정치적으로 필요한곳에 자꾸 쓰니까 못믿는거죠~,부정,정부개입·거버넌스,정치적 사용
국민연금 종목 선정한거 보면 완전 예술임..,긍정,운용성과,성과
이제 갑자기? 그럼 이제 냉큼 조기지급으로 국민을 살려라,부정,연금제도,조기지급
잘부탁드립니다...,긍정,국민연금 조직,응원
지금 젊은 사람들중 연금이 부담된다고 하는 사람들은 높은 확률로 노년도 빈곤해질수 있는데 이런 사람들일수록 훗날 연금의존도가 높아질수밖에 없다. 경험상 개인의 수익률이 기관을 이길순 없다. 나라가 망하지 않듯이 연금도 망할리 없으니 믿고 납부해라,긍정,세대형평,미래세대
"국민연금 이론적으로 유지가 가능하다면 좋은거 모르는 사람이 있겠습니까?
다음 세대에 강제적으로 더 많은 금액을 추징하는데 좋아하는 사람이 있을까요?
강제가 아닌 선택을 할 수 있게 해달라는겁니다.",부정,연금제도,강제추징
존경스럽다,긍정,국민연금 조직,존경
대단합니다..,긍정,국민연금 조직,칭찬
응원합니다. 진정한 애국자 이시고 영웅 이십니다.,긍정,국민연금 조직,응원
감사합니다. 4.24,긍정,기타,감사
"오픈 되지 않는 그들만의 지표
정부의 입김에서 자유로울 수 없는 곳",부정,정부개입·거버넌스,정부입김
하트,긍정,기타,응원
외화자산 팔아서 국내증시부양하거나 외환방어하는데 쓰이고있음. 국민연금은 주식비중을 너무 늘리면 안되는게 결국 국민들에게 연금을 지급하려면 주식을 현금화해서 팔아야되기 때문에 주가하락이 오거나 아니면 큰 경제침체가 오면 주식이 반토막나기도 쉬워서 안전자산이 아닌 주식에 묶인 돈은 수익율이 현재 좋아도 국민들의 미래를 장담할수가 없음,부정,정부개입·거버넌스,주식비중
국민연금이 잘해서 번게아니고 삼성 하닉이 벌어준거잖아,부정,운용성과,운용성과
지금운영하는방법이 대통력의것이잖아,부정,투자전략,비판
국민연금공단에 진짜 천재들이 많지.. 원래 유명함..,긍정,국민연금 조직,전문성
"엠씨가, 참 좋다",긍정,기타,응원
이사장은 정무직이고 경영관리하는 분이고 기금운용본부장이 투자 전문가입니다. 이사장이 나와서 자기 실적처럼 말하는 게 보기 안좋네요.,부정,국민연금 조직,이사장
반도체 슈퍼사이클을 잘 타고 날았지..... 계속될것야...,긍정,투자전략,반도체
"국민을 위해 보이지 않는 자리에서 묵묵히 애써주시는 분들이 있기에 지금의 사회가 유지된다고 생각합니다. 부부 합산 연봉이 약 6억 원 수준이다 보니 각종 연금과 세금이 아깝게 느껴질 때도 있지만, 결국 그 가치 있는 역할을 해주시는 분들이 계시기에 감사한 마음이 더 큽니다. 늘 뒤에서 조용히 응원하겠습니다.",긍정,국민연금 조직,응원
국민연금 투자해서 망해도 책임지는사람없고 자리물러나면 끝,부정,연금제도,비판
"형님들 국민연금만으로는 턱도 없습니다요
은행말고 증권사에서 개인 연금저축(IRP랑다름)추가로 운용하셔야 합니다 세액도 줄여주고 엄청난 플러스가 될겁니다",중립,퇴직연금,연금저축
"연금도 연금이지만 자산소득에 세금 좀 많이 매겨 주시길 정부/정책 관여자 분들께 바랍니다. 앞으로 노동인구는 줄어드는데, 연금 받아먹고 세금을 많이 쓰게 될 인구는 엄청나게 늘어납니다. 세금 제도 개편해야 합니다.",부정,정부개입·거버넌스,세금개편
재밋게 시청햇네요 국민연금 기대됩니다,긍정,국민연금 조직,기대
열심히 하시는분에게 보너스를 줘야합니다😮,긍정,국민연금 조직,보너스
감사합니다...,긍정,기타,감사
사명감...그 단어가 생각나네요 멋지십니다,긍정,국민연금 조직,칭찬
"30:15 카드사들이 협회 같은 곳한테 압박을 받아서 게임 ESD들한테 디뱅킹 협박하는 사례도 있으니까
국민연금한테 연락한 게 완전 뜬금없는 건 아니긴 하다는게 참ㅋㅋㅋㅋ",중립,기타,일반잡담
게스트 퀄리티 보소😅,중립,기타,일반잡담
이사장님 마인드가 너무 훌륭하시네요 국민을 위해 헌신이라 국민연금 신뢰가더 높아졌어요 ㅎ,긍정,국민연금 조직,신뢰
1500조면   약1조 달러네.,중립,기타,정보
그래서 퇴직연금 개인연금까지 해서 3중 연금으로 불안함 해소하고 나라도 믿고 이렇게 가야한다...,긍정,퇴직연금,안정성
블랙록 : 1500조?ㅋ (피식...),부정,국민연금 조직,조롱
"피같은 국민들 돈인, 국민 연금으로 
환율 방어하느라 고생이 많네여.

이런데 나와서, 돈 벌엇다고 자랑질하지 말고
돈 많이 벌엇으면, 약속대로 60세에
개시하라고.

국민들 알길, 엿날 무지랭이로 아는거야?
화딱지 나게스리.",부정,정부개입·거버넌스,환율방어
글쎄요... 지금 판단하긴 의미가 없을걸요.ㅡ 5년후 10년후에 지금어땠는지 평가해야 제대로 볼 수 있을 것.,중립,운용성과,의견
"더 내고 더 받는(?)다는걸 왜 즈그들끼리 정하냐
미래세대는 ㅈ까라는 마인드",부정,세대형평,미래세대
"댓글보니 부정적인거 많네. 
지가 굴리다 망하면 나라탓 할 거면서.",부정,국민연금 조직,비난
아이돌 때문에 국민연금 업무가 마비된다는게 말이되나😮,부정,국민연금 조직,잡담
국민연금의 신뢰가 많이 하락해 있었는데 최근 몇년간 성과에 이사장님 설명을 들으니 믿음이 가네요~~,긍정,국민연금 조직,신뢰
국민연금은 세금이다 없어져야 한다,부정,연금제도,고갈
"국민연금👏👏👏

늘 좋은정보 출근길... 퇴근길... 감사히 듣고 있습니다. 구독신청♡좋아요",긍정,국민연금 조직,응원
이런식으로 대중적인 채널에 나와서 설명해주시는게 젊은사람들의 불신을 그나마 해소할 수 있을 듯 해요,긍정,국민연금 조직,신뢰
냉정하게 환율 상승분 빼면 몇% 일까요???,중립,운용성과,질문
국민연금은 엑싯 어케함?,중립,연금제도,탈퇴
우리나가 대단한걸 우리나라사람들만 모름😂 국민연금 이사장님의 모토도 정말멋지십니다😊,긍정,국민연금 조직,칭찬
"맨날 국민 연금 욕하더니.. 성과가 좋으니, 직원들 대우 해줘야 한다. 
조건 좋은 증권사 투자사 안가고 적은 연봉에 일하고 있으니.",부정,국민연금 조직,비판
"평소 지식인사이드를 즐겨 보는 애청자입니다.
지식인사이드도 사적인 채널이다보니, 수익성이 중요하고 그에 따른 영상의 방향성이 있는 점은 동감하고 있습니다.
그러나 해당 영상의 경우에는 너무나 편파적인 정보만 제공하고, 해당 부분에 대해서 중립을 지키지 못하는 한석준 아나운서님에 대한 실망이 큽니다.
19분 13초에 보시면, 
6만원을 더내고 40년뒤에 9만원을 더받는 것을 마치 이득인 것처럼 얘기를 하십니다.
그러나 20년 비교를 해도 실질 물가율은 2배넘게 올랐습니다.
20년 전에 짜장면 가격을 생각해보세요.
그런데 이부분을 마치 이득인양 과장해서 말하는 것은 올바른 지식 전달 방향이 아니며, 지식인사이드 방향이 맞는가 의구심이 듭니다.
불과 몇일전 영상에서도 경제와 주식에 대해서 물가와 복리에 대해서 영상을 전달하면서 얘기를 하셨던 한석준 아나운서님께서는 왜 해당 부분이 잘못된 정보라는 것을 짚고 가지 않으시는 걸까요?",부정,연금제도,제도 비난
"와...
차분히 논리적으로 말씀 잘하시네...
본인의 소신 도 국민연금의 원래 목적도 사명감도...",긍정,국민연금 조직,신뢰
국민연금에도 천재들이 많아서 안심이다.,긍정,국민연금 조직,신뢰
감사히 들었습니다,긍정,기타,감사
1500조를 굴린다... ㅎㄷㄷ,중립,국민연금 조직,자산규모
이사장님 믿음이 갑니다~,긍정,국민연금 조직,신뢰
"이광수선생님하고 투자전략이 같네요.
저도 열심히 따라가는중이고
수익을 많이 내고 있습니다.
분산, 장기, 위험관리",긍정,투자전략,분산투자
곳곳에서 역할 이상을 해주셔서 나라가 돌아갑니다 감사해요,긍정,국민연금 조직,응원
"내가 연 수익이 평균 13.5%정도 되는데
포트폴리오에서 지수 비율이 높은 편임
이정도만 해도 평균은 가는듯",긍정,운용성과,수익률
난 아직도 안 믿음. 코스피 바닥일때 미국주식 더 늘린다고 말하던 국민연금!  홈플러스사태는 어쩔건데? 눈 먼 돈이랍시고 여기저기 뿌려댄 돈이 드러나지 않았지만 어마어마 할 걸,부정,정부개입·거버넌스,비판
"국민연금은 투자는 잘하고 있다. 다만 정부 입김에 환율방어나 포트폴리오 조정 등 리스크가 있고, 들어오는 돈보다 나가는 돈이 많다보니 고갈위험은 사라지지 않는다.",부정,연금제도,고갈위험
그냥 국민연금이 세력인데 당연히 돈 벌지... 게임으로 치면 맵핵키고 게임하는건데. 결국 국민연금이 마지막에 수익실현하고 던지는 물량은 역설적이게도 국민들이 받아서 피해보는 구조임,부정,세대형평,피해
말씀을 상당히 잘하신다.,긍정,국민연금 조직,칭찬
김성주이사장님 마지막멘트가 너무멋지네요 감사합니다,긍정,국민연금 조직,이사장 칭찬
"젊은 세대의 불신은 단순히 출산율 저하로 인한 국민연금 고갈에 대한 불신도 있겠지만, 미래에 세금 낼 사람은 2030인데 지들이 낼 것처럼 세금 뿌려대는 정책 꼬라지가 불신을 키우는데 일조 했다고 생각합니다.",부정,세대형평,미래세대 부담
"근데 이사장은 연금 지급이나 관리하는 떠돌이고, 기금 전문가가 아님. 기금운용본부장을 불러야지",부정,국민연금 조직,전문성 비판
수십년 후에 한국 주식을 팔 때는 그 수익률이 의미가 있을까요? 진짜 궁금해서 여쭤봅니다,중립,운용성과,질문
국민연금 주식투자한다고 욕하는 무식한놈들 보면 피가 끓어오른다,긍정,국민연금 조직,비난
연금고갈된다 20대는 못받다했었는데 많이 벌어놨나보네요,부정,연금제도,고갈 우려
"멋진분이시네요~~
건강하시고 연금 자~알 불려주세요~~~♡
싸랑합니다..",긍정,국민연금 조직,응원
"그냥 국민연금은 국가에서 시행하는 폰지사기 다단계임
미래세대가 받쳐줘야 유지가 되는데 인구 피라미드가 정상일 땐 아무런 문제가 없지만
지금 상황은 반대라 문제인 거임
그리고 연8%라는데 물가상승률 반영해야 함 화폐가치 떨어지는 거 생각하면 금이나 S&p500을 이기는 게 중요한 거임
난 솔직히 말해서 미성년자 투표권을 부여하는 대신 부모가 대신 투표하게 하고, 국민연금 받으면 투표 금지 시켜야 한다고 봄
전쟁나면 20대, 30대, 40대 많으면 50대가 투입되는 게 아니라 노인들부터 징집시켜서 총알받이라도 시켜야 한다고 봅니다.",부정,연금제도,제도 비난
퇴직금은 개인의 돈입니다. 연금으로 받든 일시불로 받든 그건 개인의 선택에 맞겨야지요.,중립,퇴직연금,개인 선택
국민연금에 믿음이 없는1인이었는데 👍 이제 더 믿고 갑니다.,긍정,국민연금 조직,신뢰
너무 감사합니다~~,긍정,국민연금 조직,감사
"국민연금도 손실이 날 수 있고, 국가의 복지는 사라지면 안되므로 나중에 어짜피 지급할 돈이라고 지금 지급할 수 없으며, 그 돈은 매해 세수에 의한 예산으로 지급하는 것이므로 실행되기 어렵다.",부정,연금제도,지급 방식
1년만 국내주식장 좋아서 좋았던거지 국민연금 갈아 먹는다고 욕 맨날 먹었음,부정,투자전략,국내주식
"20대 직장인입니다 이 영상을 보기전까지는 국민연금에 대한 불신만 가득했습니다.
생각이 바뀌었습니다 믿음이 생기네요
정말 스마트하신 이사장님 감사합니다 국민들을 위해 라는 말씀을 영상내내
반복하시는거보면 정말로 사명감으로 일하시는게 느껴져요 감사합니다 
건강하셔서 오래살아주세요",긍정,국민연금 조직,신뢰
이사장님을 비롯하여 사명을 가지고 임해주시는 국민연금의 모든 구성원분들께 감사드립니다. 세계에서 국민연금의 위상이 이정도로 높은 줄은 몰랐습니다. 제가 한 일은 없지만 덕분에 또 자부심을 가지게 되네요 😊,긍정,국민연금 조직,자부심
"국민연금,퇴직연금,주택연금 주식으로 오호통재라 이제 오셔서 구원,심판이 있게하소서",긍정,국민연금 조직,잡담
이사장님 얘기 잘 들었습니다. 이렇게 훌륭하게 기금 운용해오고 계신 기금운용본부장님에 대해서도 궁금하네요 ㅎㅎ,긍정,국민연금 조직,운용
그니까 그래도 20~30대가 더 내고 있는데 인구는 줄고있고 부양할 인구는 많아지고 투자로 많이 번다고 한들 그게 항상 그럴것같냐? 절대 아니거든 말만 그럴듯하지 결국 20 30대를 설득할 내용이 전혀 되지못함 국민연금 내는돈 ㅈㄴ아깝더 내가 투자해서 내가 번다,부정,세대형평,부담
그럼? 유의 월급은? 어떻게   만드시나요?,부정,국민연금 조직,질문
진짜 증시 호황으로 연금 고갈 싹 사라짐..ㅋㅋㅋㅋ,부정,연금제도,고갈
내가 나이가 60이 되어 더 내겠다니깐 국가 지원이 없어지던걸요 두배로 내야지요 그건 아닌듯 해서 몇번 내다 말았습니다 국가의 지혹적 지원이 있어야 할 것입니다,부정,연금제도,지원
근데 왜 맨날 국민연금 고갈 드립치고 지랄들이냐 매번.,부정,연금제도,고갈
보너스 좀 줘라 심하네 이사장은 그렇다 치고 주담들은 줘야지,부정,국민연금 조직,보너스
이때까지 까 처먹을깨는 연금 고갈된다고 노래를 불러 싸터구만..죽알놈들.,부정,연금제도,고갈
"더내고 더받자라는 개소리의 주인공이었네 ㅋㅋㅋ
언제부터 국가가 빈곤층 지원를 해줬다고 
부자는 그냥 돈 뜯기는거자나
소득 재분배 같은 개소리를 하고 자빠졌네
개소리 말고 돈내놔라",부정,세대형평,재분배
"국민연금 펀드매니저 아시는 분 있는데, 다른 조건 훨씬 좋은 곳 안 가고, 일한지 7년됨. 사명감이 있더라 소주 한잔하는데 그래도 자기가 국민들 노후책임진다는거",긍정,국민연금 조직,사명감
매번 같은말을 하지만 월급쟁이중에 지금 4.5퍼 국민연금 내는것 조차 힘들거나 아쉬워 계속 생각나는 극빈층이라면 오히려 국민연금이 동아줄이니 꽉 붙잡어 지금 가망없는 사람들이 노후에 가망없는건 거의 빼박임,중립,연금제도,극빈층
여기 댓글질 하는 것들 ㅋ 왜 이리 화가 나 있음???? ㅋ 10멧돼지 콜성괴 가 그리 국고 탕진했을 땐 아몰랑 피의 쉴드 치던 것들이 ㅋ,중립,기타,잡담
"s&p500,나스닥100. 에 엄청나게 투자하고 있습니다.",중립,투자전략,투자
우리나라 지금 국민연금 이사장이 이렇게 훌륭한 분이셨군요. 감사합니다. 건강히 계속 잘해주시기 응원합니다❤,긍정,국민연금 조직,응원
"국민연금 고갈 리스크 없어졌으니 이제 그만 올립시다.
그리고 어차피 한세대 뒤엔 상속세 때문에 모든기업의 최대주주가 국민연금이 되어 국가소유가 되고 공산주의나 다름없는 국가가 될 겁니다.",부정,연금제도,고갈
"이사장님께서 혜안이 
뛰어나신 분이시군요.
국민연금이 든든해서
저도 최근 추납완료 했습니다.
“달걀을 한 바구니에 담지마라” 격언처럼
종목. 섹터. 자산. 나라...
여러 곳에 분산하셨다는 뜻으로 이해됩니다.^^;;",긍정,국민연금 조직,추납
나 만 17세인데 국민연금 받을 수 있냐,중립,기타,질문
국민연금 내라는데 그거낼돈으로 s&p500 사면 압도적으로 벌텐데 왜 국민연금도 미국주식에 투자하면서 국민연금통해서 온전히 수익률도 못가져가고 65세돠도 월평균 5~60이라는데 누가하고싶나요?? 주식 운용하신다는분이면 다아실텐데 홍보하러 나오신거라고밖에 안보이네요..,부정,투자전략,수익률
천재펀드메니져가 들어왔군요ᆢ땡큐,긍정,국민연금 조직,칭찬
개소리나 처해대는 국회의원들 국민연금 강제로 90프로 국가가 떼어갔으면 좋겠습니다 돌려받는건 떼간거에서 10프로 만 받고,부정,정부개입·거버넌스,국가개입
국민연금에 대한 다양한 정보를 알 수 있어 유익한 시간이 된 것 같아요.,긍정,기타,정보
2등,중립,기타,기타
1등!,중립,기타,기타
"국민연금관리공단.. 국민 영웅들이 일하는 곳이였군요.
이 정도 실력이면 오라는 곳도 많으셨을텐데 사명감으로 일하시다니..
감사하고 사랑합니다~❤",긍정,국민연금 조직,응원
연금 많이 받아도 지역의료보험비로 다 뺏어가는데요? 시스템이 이상하거든요?,부정,연금제도,시스템
